#integer	index1	index2																				
state	posterior	prior	likelihood	meanRate	treeModel.rootHeight	yule.birthRate	ac	ag	at	cg	gt	alpha	ucld.mean	ucld.stdev	invgauss.mean	invgauss.stdev	uced.mean	index1	index2	coefficientOfVariation	covariance	treeLikelihood
160000	-11457.38707	12.53036606	-11469.91743	0.481015391	0.278199681	8.127378667	0.350930069	1.859517409	0.157753233	0.474816871	0.272827836	0.67215256	1	4.849063289	1	9.371979624	1	2	2	0.796206021	0.124769045	-11469.91743
165000	-11459.51593	13.20329631	-11472.71923	0.481374515	0.274374203	6.201902768	0.349050137	1.896264857	0.157753233	0.458709807	0.348166879	0.873537405	1	6.496685907	1	3.572067474	1	2	2	0.769188025	0.187662494	-11472.71923
170000	-11461.98411	11.9112858	-11473.89539	0.467033014	0.285763922	3.635983098	0.349050137	1.856016048	0.143720123	0.462818129	0.348166879	0.85990596	1	6.087993635	1	5.524852982	1	2	2	0.652991013	0.150034818	-11473.89539
175000	-11458.96451	12.1651729	-11471.12969	0.411372386	0.348934523	4.200687706	0.349050137	1.640752827	0.132023003	0.429022886	0.348166879	0.738695629	1	7.756182642	1	2.818026475	1	2	2	0.770360107	0.169591668	-11471.12969
180000	-11464.80771	12.5517246	-11477.35943	0.411141989	0.295535326	6.029751422	0.274415073	1.640752827	0.132023003	0.480574722	0.348166879	0.756673841	1	5.080071704	1	0.244704916	1	2	2	0.740472601	0.200207578	-11477.35943
185000	-11450.62499	13.21782228	-11463.84281	0.476934706	0.288648165	4.913443705	0.289933174	1.640752827	0.132023003	0.481824303	0.288353314	0.756673841	1	4.314929095	1	4.463140058	1	2	2	0.570952003	0.399481208	-11463.84281
190000	-11454.17683	12.64623571	-11466.82307	0.445372699	0.313451611	5.071137749	0.289933174	1.562394683	0.166529253	0.481824303	0.219836522	0.719057975	1	6.738023092	1	3.855383204	1	2	2	0.719704199	0.376669446	-11466.82307
195000	-11450.2603	11.89729986	-11462.1576	0.452852741	0.28163553	3.534380487	0.327877728	1.541267739	0.150128656	0.481824303	0.244605188	0.691943277	1	2.785885862	1	8.603520446	1	2	2	1.152340386	-0.036961378	-11462.1576
200000	-11460.5809	12.69930741	-11473.28021	0.442385744	0.289354832	4.19360691	0.284429795	1.541267739	0.150128656	0.481824303	0.243986616	0.664144716	1	9.645374124	1	0.980365764	1	2	2	0.669860809	0.119876481	-11473.28021
205000	-11455.13192	13.29305769	-11468.42498	0.483947041	0.262445635	5.675999943	0.296561685	1.376302945	0.155017313	0.456200667	0.292262676	0.843096751	1	5.808691577	1	3.08242466	1	2	2	0.909519498	0.244052646	-11468.42498
210000	-11453.38693	12.31598866	-11465.70292	0.435234065	0.271188268	8.568996265	0.296561685	1.376302945	0.190972779	0.348969958	0.292262676	0.843096751	1	8.945224215	1	6.627414979	1	2	2	0.838654116	-0.17352292	-11465.70292
215000	-11451.52505	13.33066686	-11464.85572	0.442700402	0.267827887	5.405663502	0.2949339	1.415369529	0.163717509	0.379789274	0.292262676	0.811738524	1	1.27120798	1	7.261231944	1	2	2	0.717334963	0.190703673	-11464.85572
220000	-11447.39969	12.89969591	-11460.29939	0.430215326	0.252097746	7.510248862	0.2949339	1.415369529	0.163717509	0.379789274	0.292262676	0.889267788	1	0.338310315	1	8.469619936	1	2	2	0.871809814	-0.084962295	-11460.29939
225000	-11447.58041	13.06815979	-11460.64857	0.480988343	0.241704568	4.753303973	0.2949339	1.415369529	0.163717509	0.415429757	0.292262676	0.777358112	1	0.029569231	1	8.921643466	1	2	2	0.883970199	-0.014803389	-11460.64857
230000	-11458.84056	13.65889775	-11472.49945	0.478884449	0.240871142	7.286792457	0.302119657	1.478878103	0.158015448	0.415429757	0.292262676	0.777358112	1	0.00349718	1	5.96095185	1	2	2	0.822951062	0.162319437	-11472.49945
235000	-11446.30966	14.06286097	-11460.37252	0.493748134	0.244224636	5.953714361	0.356253197	1.478878103	0.158015448	0.415429757	0.292262676	0.796689241	1	0.427851372	1	9.188573578	1	2	2	1.014378874	-0.093892509	-11460.37252
240000	-11446.02417	13.1492972	-11459.17346	0.522955184	0.254115166	11.85128019	0.330168901	1.478878103	0.141197125	0.412538757	0.292262676	0.765064455	1	0.01714587	1	6.113435731	1	2	2	0.890226633	-0.212108663	-11459.17346
245000	-11459.3349	11.27073982	-11470.60564	0.466897214	0.267594958	10.56114787	0.330168901	1.478878103	0.130524032	0.415310014	0.292262676	0.765064455	1	0.008216755	1	8.791272093	1	2	2	0.807904719	0.044953816	-11470.60564
250000	-11445.02843	14.56368712	-11459.59212	0.490987156	0.240055117	6.069140312	0.357684119	1.343055499	0.130524032	0.415310014	0.292262676	0.765064455	1	0.068419415	1	2.164571586	1	2	2	0.727390638	0.231614456	-11459.59212
255000	-11444.46835	15.20682437	-11459.67517	0.545638229	0.237963593	6.883204934	0.317174189	1.343055499	0.125752802	0.415310014	0.248603726	0.765064455	1	0.310330772	1	3.112950141	1	2	2	0.989917561	-0.081673507	-11459.67517
260000	-11445.75038	14.99414696	-11460.74453	0.530563897	0.26695088	8.590026587	0.317174189	1.343055499	0.161086011	0.464211136	0.226954517	0.765064455	1	8.803589984	1	9.961231186	1	2	2	0.714379471	0.300428429	-11460.74453
265000	-11445.57707	15.73557445	-11461.31265	0.61420506	0.248776737	9.877041107	0.317174189	1.343055499	0.161086011	0.464211136	0.228400725	0.765064455	1	2.277406632	1	8.789696936	1	2	2	0.784439553	0.180114514	-11461.31265
270000	-11448.5635	16.71419947	-11465.2777	0.64327942	0.209057302	9.353436314	0.327320475	1.52474472	0.161086011	0.414510053	0.283453112	0.765064455	1	2.271216647	1	7.91567188	1	2	2	0.623855762	0.387948023	-11465.2777
275000	-11448.51437	13.90301913	-11462.41739	0.527261384	0.421229071	9.723653855	0.327320475	1.445730199	0.161086011	0.414510053	0.279948797	0.79455779	1	1.131990813	1	9.265586815	1	2	2	0.792252348	0.395716129	-11462.41739
280000	-11447.11745	18.56405558	-11465.6815	0.742549333	0.176043071	11.54792624	0.352590212	1.445730199	0.174371621	0.396731814	0.279948797	0.768597586	1	1.809235479	1	3.274584581	1	2	2	0.854681948	0.055054375	-11465.6815
285000	-11444.3572	19.00026402	-11463.35747	0.787436551	0.169884431	8.937381794	0.352590212	1.371016643	0.141391251	0.402142286	0.279948797	0.768597586	1	4.20947903	1	7.122689254	1	2	2	0.760523333	0.419441607	-11463.35747
290000	-11438.70203	19.22715093	-11457.92918	0.821978421	0.179336845	14.45145003	0.287915819	1.371016643	0.141391251	0.402142286	0.238839287	0.821050068	1	5.872458422	1	4.639928661	1	2	2	0.816061183	0.127723128	-11457.92918
295000	-11442.38146	19.58050416	-11461.96196	0.762929604	0.181265213	9.397578473	0.302744622	1.272252752	0.150787513	0.402142286	0.215593039	0.821050068	1	6.866182856	1	1.817610864	1	2	2	0.881131943	0.441379321	-11461.96196
300000	-11443.71735	19.58132842	-11463.29867	0.834835734	0.151331042	17.19965489	0.321799278	1.403025595	0.148490898	0.365558281	0.237774595	0.821050068	1	0.197352661	1	1.446660273	1	2	2	0.642952488	0.335054939	-11463.29867
305000	-11440.89406	19.60608844	-11460.50015	0.758397639	0.168941294	8.587981298	0.321799278	1.403025595	0.12816782	0.365558281	0.262298504	0.821050068	1	1.281242092	1	1.488743836	1	2	2	0.732978423	0.392123472	-11460.50015
310000	-11441.25031	19.73152033	-11460.98183	0.802166182	0.173352835	10.37704415	0.335675008	1.418209204	0.132337082	0.365558281	0.262298504	0.826941548	1	6.227980836	1	6.338222895	1	2	2	0.735304718	0.396785917	-11460.98183
315000	-11442.00802	17.66705584	-11459.67507	0.698697701	0.206748222	7.106306741	0.378548512	1.418209204	0.167352529	0.365558281	0.262298504	0.766846356	1	7.017615027	1	5.059582142	1	2	2	0.764022502	0.448343224	-11459.67507
320000	-11445.03265	16.99754603	-11462.03019	0.703305335	0.189073478	6.166148242	0.378548512	1.528314605	0.167352529	0.412977135	0.26045189	0.739772858	1	8.669398592	1	4.460420259	1	2	2	0.801220081	-0.024549558	-11462.03019
325000	-11450.43388	16.39563653	-11466.82952	0.640976581	0.209847851	8.800169443	0.378548512	1.528314605	0.157910796	0.412977135	0.282419331	0.739772858	1	8.370222713	1	5.520514125	1	2	2	0.848076699	-0.273203667	-11466.82952
330000	-11443.28307	17.00026485	-11460.28333	0.645984413	0.192505365	7.694460804	0.335636554	1.530247147	0.157910796	0.412977135	0.282419331	0.755187047	1	1.789375499	1	8.779175011	1	2	2	0.883043085	-0.294846805	-11460.28333
335000	-11445.41123	16.65472308	-11462.06596	0.606264487	0.260918416	7.045017039	0.265345592	1.530247147	0.157910796	0.412977135	0.234632515	0.755187047	1	4.467742115	1	4.126840705	1	2	2	0.871814718	-0.315688214	-11462.06596
340000	-11450.99414	17.15768701	-11468.15183	0.698214662	0.184377194	7.289111141	0.320691545	1.581088282	0.157910796	0.412977135	0.234632515	0.755187047	1	4.466450805	1	6.018613583	1	2	2	0.800556497	-0.059271919	-11468.15183
345000	-11451.05228	18.14468982	-11469.19697	0.66612943	0.169045638	9.441907238	0.290579462	1.266974368	0.123964616	0.338522861	0.231203496	0.755187047	1	8.998828174	1	9.916127161	1	2	2	0.875816487	0.078681614	-11469.19697
350000	-11440.918	18.43607804	-11459.35408	0.698469307	0.174061201	10.58890919	0.290579462	1.420178466	0.135502008	0.338522861	0.231203496	0.755187047	1	5.796727228	1	3.001459677	1	2	2	0.798454174	0.063862775	-11459.35408
355000	-11443.80281	18.13469597	-11461.93751	0.731583138	0.179065782	13.96339132	0.359701028	1.420178466	0.135502008	0.367356961	0.231203496	0.755187047	1	6.063493788	1	1.329638106	1	2	2	0.814618893	0.079595759	-11461.93751
360000	-11449.71019	16.72705483	-11466.43725	0.694610863	0.231899736	5.226086697	0.336348123	1.420178466	0.151185896	0.329307582	0.237021682	0.688798505	1	6.184450376	1	9.915169569	1	2	2	0.845585504	-0.026942634	-11466.43725
365000	-11448.45055	18.77875783	-11467.2293	0.703016498	0.179692045	7.343772517	0.369606957	1.308251006	0.140631787	0.329307582	0.237021682	0.851079415	1	0.801234874	1	3.749845549	1	2	2	0.708980891	0.352692852	-11467.2293
370000	-11442.31785	16.57033277	-11458.88818	0.652847217	0.227574979	14.28781514	0.301110596	1.314470417	0.140631787	0.362114009	0.237021682	0.851079415	1	2.390039163	1	0.28474506	1	2	2	0.802170818	0.470980172	-11458.88818
375000	-11445.72469	15.41488496	-11461.13957	0.51748871	0.369451059	8.792902503	0.289057056	1.437532904	0.157422916	0.377663232	0.237021682	0.690695817	1	4.080857472	1	2.291666657	1	2	2	0.848612696	0.029546429	-11461.13957
380000	-11444.96522	16.62056965	-11461.58579	0.690966626	0.181283835	4.608929826	0.289057056	1.349298521	0.135846685	0.404153761	0.237021682	0.779930928	1	5.365994649	1	3.797428684	1	2	2	0.845141786	0.121883903	-11461.58579
385000	-11439.12401	18.97504251	-11458.09905	0.742509137	0.163802854	6.981848987	0.287970938	1.349298521	0.113757304	0.404153761	0.237021682	0.749777212	1	9.329883728	1	7.588601477	1	2	2	0.795662203	0.258461994	-11458.09905
390000	-11446.04834	19.18072114	-11465.22906	0.724245905	0.169452813	8.082020975	0.272758061	1.349298521	0.113757304	0.318048942	0.232223887	0.749777212	1	0.411900919	1	0.955251858	1	2	2	0.773174759	0.1938707	-11465.22906
395000	-11448.25864	17.64657339	-11465.90521	0.702259259	0.170145125	10.06580903	0.357275806	1.541557005	0.123841386	0.366276018	0.232223887	0.749777212	1	0.144358005	1	8.468124521	1	2	2	0.925564887	0.03293092	-11465.90521
400000	-11446.50927	17.28175084	-11463.79102	0.74937132	0.166308258	5.792744121	0.357275806	1.351558252	0.143894804	0.366276018	0.232223887	0.749777212	1	0.612119554	1	3.653466548	1	2	2	0.895433792	0.200554187	-11463.79102
405000	-11441.98713	17.90066879	-11459.8878	0.65440991	0.172520073	10.09478736	0.357275806	1.351558252	0.14179649	0.366276018	0.236164868	0.764335701	1	8.749464361	1	3.70696662	1	2	2	0.954929208	0.12521488	-11459.8878
410000	-11441.7042	15.10963711	-11456.81384	0.693526476	0.19287364	16.88985077	0.357275806	1.351558252	0.14179649	0.366276018	0.239104849	0.764335701	1	0.616102508	1	7.73108053	1	2	2	0.950998714	0.498013115	-11456.81384
415000	-11439.91179	19.69008001	-11459.60187	0.77779053	0.164085878	10.96004857	0.310165573	1.274843308	0.14179649	0.315677203	0.23238932	0.764335701	1	8.883431305	1	5.344556606	1	2	2	0.880006513	0.428305625	-11459.60187
420000	-11443.49237	20.14431869	-11463.63669	0.798608414	0.174440442	9.603280163	0.310165573	1.274843308	0.119054104	0.343087472	0.23238932	0.764335701	1	4.479996363	1	6.330756336	1	2	2	0.8369955	0.165265319	-11463.63669
425000	-11444.62444	17.80150094	-11462.42594	0.678326898	0.19872854	6.639025408	0.360597946	1.2369498	0.119054104	0.343087472	0.238167405	0.764335701	1	7.985687123	1	5.018868782	1	2	2	0.971625634	0.306667434	-11462.42594
430000	-11451.90687	18.9877043	-11470.89457	0.742525523	0.174531001	6.059744194	0.360597946	1.162277878	0.10944256	0.343087472	0.195377507	0.764335701	1	5.485812785	1	7.318408552	1	2	2	0.991953891	0.140450335	-11470.89457
435000	-11444.7988	19.09870447	-11463.89751	0.770677375	0.143217492	6.749547321	0.360597946	1.253415834	0.128724114	0.343087472	0.195377507	0.764335701	1	5.414398629	1	7.645492624	1	2	2	0.795760422	0.269542451	-11463.89751
440000	-11451.49413	19.92171906	-11471.41585	0.757738518	0.169494345	7.878117294	0.274806196	1.100480022	0.118319147	0.325860858	0.190946031	0.764335701	1	9.79523338	1	0.969835545	1	2	2	0.880434504	0.038542902	-11471.41585
445000	-11444.51532	20.13628266	-11464.65161	0.786183467	0.167874567	9.016958835	0.274806196	1.291797209	0.118319147	0.325860858	0.208407486	0.835285008	1	9.914604029	1	9.043413468	1	2	2	1.106450182	-0.017476261	-11464.65161
450000	-11453.00059	18.85218143	-11471.85278	0.73772957	0.161779428	6.594972394	0.357368795	1.380553989	0.118319147	0.325860858	0.23770835	0.835285008	1	9.987065781	1	1.233195155	1	2	2	1.037144558	0.017199378	-11471.85278
455000	-11440.90287	19.27403115	-11460.1769	0.840088498	0.154783967	7.814358069	0.379349221	1.380553989	0.167354638	0.325860858	0.240105319	0.737404366	1	8.27014454	1	0.600257448	1	2	2	0.884962903	0.52050769	-11460.1769
460000	-11445.7498	19.56417653	-11465.31398	0.850760898	0.165449248	13.4641698	0.379349221	1.392740265	0.172702286	0.325860858	0.230474654	0.737404366	1	5.373905713	1	2.679090077	1	2	2	0.754911354	0.340212505	-11465.31398
465000	-11452.79275	17.83873696	-11470.63148	0.659540393	0.228692025	8.846307896	0.379349221	1.392740265	0.172702286	0.309032	0.252146656	0.723062206	1	6.643308359	1	8.910654104	1	2	2	0.806982295	0.055054644	-11470.63148
470000	-11447.57871	16.34707312	-11463.92578	0.7095776	0.206516659	4.775227479	0.379349221	1.392740265	0.172702286	0.397656829	0.252146656	0.777672168	1	1.684512007	1	1.820326414	1	2	2	0.665458074	-0.044072702	-11463.92578
475000	-11448.34841	18.4733679	-11466.82177	0.694702061	0.205652444	8.118011648	0.379349221	1.392740265	0.128826928	0.397656829	0.255972949	0.750475098	1	1.570101809	1	3.222762804	1	2	2	0.698214745	-0.146296131	-11466.82177
480000	-11450.65022	17.14057122	-11467.79079	0.711202893	0.184847596	12.79292716	0.395523876	1.498206488	0.128826928	0.459224935	0.255972949	0.750475098	1	9.715323017	1	7.794046666	1	2	2	0.754629714	-0.007902885	-11467.79079
485000	-11445.62363	18.63220719	-11464.25584	0.739511519	0.180271667	9.296599731	0.359848285	1.498206488	0.15828485	0.459224935	0.255972949	0.831806811	1	9.459677753	1	3.724994299	1	2	2	0.881574954	-0.054741994	-11464.25584
490000	-11444.568	16.84211287	-11461.41012	0.704651948	0.197779532	14.80315972	0.359848285	1.498206488	0.15828485	0.370837597	0.251254316	0.710904781	1	6.837508897	1	0.446777337	1	2	2	0.97146223	-0.02407491	-11461.41012
495000	-11449.25752	17.787586	-11467.04511	0.730996626	0.189715886	6.782125817	0.291463687	1.498206488	0.153743349	0.395357861	0.283791348	0.710904781	1	8.749904059	1	4.885350468	1	2	2	0.793156101	0.024875717	-11467.04511
500000	-11439.41115	17.60750736	-11457.01865	0.677791686	0.218510416	9.478524714	0.315255781	1.498206488	0.168848008	0.395357861	0.231289032	0.767772	1	0.643109127	1	7.476413604	1	2	2	0.928595158	0.398118861	-11457.01865
505000	-11452.78198	15.01164481	-11467.79362	0.695935852	0.211597223	3.886135838	0.31228221	1.498206488	0.158199108	0.395357861	0.260903447	0.742859208	1	1.892657228	1	4.265057386	1	2	2	0.923070818	0.29177044	-11467.79362
510000	-11441.48194	17.0138828	-11458.49582	0.616311873	0.243726324	7.666758648	0.31228221	1.404099561	0.158199108	0.445789311	0.260903447	0.843874855	1	2.280193662	1	3.101978198	1	2	2	0.867050412	0.254599072	-11458.49582
515000	-11449.02947	15.38332051	-11464.41279	0.607002961	0.24057983	5.359721718	0.31228221	1.404099561	0.133647292	0.445789311	0.257173172	0.843874855	1	8.259644163	1	3.276799174	1	2	2	0.892715662	0.239390231	-11464.41279
520000	-11447.75812	17.01404593	-11464.77217	0.609407785	0.224624307	8.241600225	0.31228221	1.404099561	0.133647292	0.395776938	0.257173172	0.843874855	1	9.593264688	1	6.057961354	1	2	2	0.785370345	0.422195855	-11464.77217
525000	-11446.89999	15.32013087	-11462.22013	0.575658199	0.255220379	10.89005517	0.31228221	1.404099561	0.133647292	0.33688759	0.241971633	0.895765773	1	7.313028648	1	3.735068391	1	2	2	0.666193601	-0.102852795	-11462.22013
530000	-11458.07835	15.70661344	-11473.78496	0.53363122	0.239148625	8.008905449	0.31228221	1.213627206	0.160351121	0.363739554	0.232168669	0.834601634	1	5.802069432	1	6.665443275	1	2	2	0.663418068	0.078458046	-11473.78496
535000	-11444.3327	16.5237349	-11460.85644	0.588339709	0.208580076	7.942694595	0.31228221	1.30359496	0.160351121	0.376567736	0.232168669	0.815233477	1	3.183051311	1	8.279946398	1	2	2	0.870381077	0.013055018	-11460.85644
540000	-11445.94858	16.41822836	-11462.36681	0.581074111	0.217187723	9.243804602	0.31228221	1.30359496	0.160351121	0.376567736	0.232168669	0.760429725	1	5.081896967	1	2.207113737	1	2	2	0.911998126	0.092242863	-11462.36681
545000	-11457.68064	14.12785054	-11471.80849	0.5467171	0.235252152	3.534157711	0.243782644	1.30359496	0.160351121	0.376567736	0.232168669	0.725566142	1	8.853288422	1	9.00043808	1	2	2	0.891750483	0.259350169	-11471.80849
550000	-11445.18388	15.85025248	-11461.03414	0.570256493	0.247242615	5.891427665	0.299424802	1.30359496	0.154126153	0.387895544	0.232168669	0.725566142	1	2.908611407	1	0.111927927	1	2	2	0.792793282	-0.101491638	-11461.03414
555000	-11451.29947	16.92658401	-11468.22605	0.594422068	0.213033653	8.850282573	0.299424802	1.30359496	0.164004466	0.356301202	0.189995039	0.725566142	1	9.93717711	1	1.169341222	1	2	2	0.7126207	0.211150971	-11468.22605
560000	-11445.10456	16.73071207	-11461.83527	0.586147021	0.221532919	9.893197519	0.299424802	1.30359496	0.164004466	0.354158354	0.272448292	0.759389468	1	7.038185252	1	1.467881776	1	2	2	0.754287505	-0.345749272	-11461.83527
565000	-11454.57126	16.10028244	-11470.67154	0.570291886	0.227147602	6.434013239	0.299424802	1.18820811	0.164004466	0.279975935	0.272448292	0.822388032	1	3.887730841	1	7.596168595	1	2	2	0.789574583	-0.304993984	-11470.67154
570000	-11446.55539	16.53159188	-11463.08698	0.60464118	0.208192818	7.908934258	0.299424802	1.238223809	0.164004466	0.389271942	0.272448292	0.822388032	1	0.548735643	1	4.37245096	1	2	2	0.8892408	-0.045971475	-11463.08698
575000	-11448.28065	16.93488927	-11465.21554	0.618786723	0.191892029	9.006498618	0.293643115	1.238223809	0.147169656	0.291403813	0.27625329	0.835017119	1	5.071250808	1	0.458425946	1	2	2	0.974354262	-0.092733579	-11465.21554
